:START_ID(Transaction),:END_ID(Company),:TYPE
20643,PFNX,FOR_COMPANY
20644,VRNS,FOR_COMPANY
20645,VRNS,FOR_COMPANY
20646,CNTE,FOR_COMPANY
20647,ROK,FOR_COMPANY
20648,CENT,FOR_COMPANY
20649,EXAR,FOR_COMPANY
20650,SHLX,FOR_COMPANY
20651,SSNI,FOR_COMPANY
20652,SSNI,FOR_COMPANY
20653,SSNI,FOR_COMPANY
20654,SSNI,FOR_COMPANY
20655,SSNI,FOR_COMPANY
20656,SSNI,FOR_COMPANY
20657,PJC,FOR_COMPANY
20658,PJC,FOR_COMPANY
20659,SSNI,FOR_COMPANY
20660,SSNI,FOR_COMPANY
20661,PJC,FOR_COMPANY
20662,SLAB,FOR_COMPANY
20663,CHGG,FOR_COMPANY
20664,CHGG,FOR_COMPANY
20665,CHGG,FOR_COMPANY
20666,JWN,FOR_COMPANY
20667,FC,FOR_COMPANY
20668,DCO,FOR_COMPANY
20669,TDY,FOR_COMPANY
20670,SLAB,FOR_COMPANY
20671,SCH,FOR_COMPANY
20672,[SWKS],FOR_COMPANY
20673,STKL,FOR_COMPANY
20674,AOSL,FOR_COMPANY
20675,ENV,FOR_COMPANY
20676,ENV,FOR_COMPANY
20677,NEOG,FOR_COMPANY
20678,KLAC,FOR_COMPANY
20679,WPTE,FOR_COMPANY
20680,WPTE,FOR_COMPANY
20681,BAS,FOR_COMPANY
20682,BAS,FOR_COMPANY
20683,BAS,FOR_COMPANY
20684,RP,FOR_COMPANY
20685,RP,FOR_COMPANY
20686,RP,FOR_COMPANY
20687,RP,FOR_COMPANY
20688,RP,FOR_COMPANY
20689,RP,FOR_COMPANY
20690,ATVI,FOR_COMPANY
20691,ATVI,FOR_COMPANY
20692,RP,FOR_COMPANY
20693,RP,FOR_COMPANY
20694,RRGB,FOR_COMPANY
20695,GNCMA,FOR_COMPANY
20696,SYNA,FOR_COMPANY
20697,SYNA,FOR_COMPANY
20698,SYNA,FOR_COMPANY
20699,SPKE,FOR_COMPANY
20700,SPKE,FOR_COMPANY
20701,SYNA,FOR_COMPANY
20702,SYNA,FOR_COMPANY
20703,SYNA,FOR_COMPANY
20704,SPKE,FOR_COMPANY
20705,SYNA,FOR_COMPANY
20706,RDI.A,FOR_COMPANY
20707,RDI.A,FOR_COMPANY
20708,CNXR,FOR_COMPANY
20709,COF,FOR_COMPANY
20710,COF,FOR_COMPANY
20711,TTEK,FOR_COMPANY
20712,WDC,FOR_COMPANY
20713,DSU,FOR_COMPANY
20714,LGF,FOR_COMPANY
20715,DF,FOR_COMPANY
20716,NEOG,FOR_COMPANY
20717,SBUX,FOR_COMPANY
20718,ESPD,FOR_COMPANY
20719,CALD,FOR_COMPANY
20720,SBUX,FOR_COMPANY
20721,ILMN,FOR_COMPANY
20722,TPUB,FOR_COMPANY
20723,ALGN,FOR_COMPANY
20724,ALGN,FOR_COMPANY
20725,FITB,FOR_COMPANY
20726,UMPQ,FOR_COMPANY
20727,UMPQ,FOR_COMPANY
20728,UMPQ,FOR_COMPANY
20729,FITB,FOR_COMPANY
20730,FITB,FOR_COMPANY
20731,FITB,FOR_COMPANY
20732,LPSN,FOR_COMPANY
20733,FITB,FOR_COMPANY
20734,HOMB,FOR_COMPANY
20735,HOMB,FOR_COMPANY
20736,FITB,FOR_COMPANY
20737,FITB,FOR_COMPANY
20738,BKGM,FOR_COMPANY
20739,FITB,FOR_COMPANY
20740,FITB,FOR_COMPANY
20741,FITB,FOR_COMPANY
20742,FITB,FOR_COMPANY
20743,NTRA,FOR_COMPANY
20744,GS,FOR_COMPANY
20745,GS,FOR_COMPANY
20746,GS,FOR_COMPANY
20747,(FAF),FOR_COMPANY
20748,(FAF),FOR_COMPANY
20749,HZO,FOR_COMPANY
20750,AEL,FOR_COMPANY
20751,OCIP,FOR_COMPANY
20752,OCIP,FOR_COMPANY
20753,OXY,FOR_COMPANY
20754,GS,FOR_COMPANY
20755,KSS,FOR_COMPANY
20756,KSS,FOR_COMPANY
20757,GS,FOR_COMPANY
20758,GS,FOR_COMPANY
20759,GS,FOR_COMPANY
20760,GS,FOR_COMPANY
20761,HZO,FOR_COMPANY
20762,EVER,FOR_COMPANY
20763,EVER,FOR_COMPANY
20764,EVER,FOR_COMPANY
20765,EVER,FOR_COMPANY
20766,EVER,FOR_COMPANY
20767,EVER,FOR_COMPANY
20768,EVER,FOR_COMPANY
20769,PCAR,FOR_COMPANY
20770,GBX,FOR_COMPANY
20771,HZO,FOR_COMPANY
20772,GS,FOR_COMPANY
20773,GS,FOR_COMPANY
20774,GS,FOR_COMPANY
20775,HZO,FOR_COMPANY
20776,FFIC,FOR_COMPANY
20777,GS,FOR_COMPANY
20778,GS,FOR_COMPANY
20779,INOV,FOR_COMPANY
20780,HZO,FOR_COMPANY
20781,CXP,FOR_COMPANY
20782,HZO,FOR_COMPANY
20783,ARLZ,FOR_COMPANY
20784,AAWWV,FOR_COMPANY
20785,SHAK,FOR_COMPANY
20786,KBLH,FOR_COMPANY
20787,MTB,FOR_COMPANY
20788,MTB,FOR_COMPANY
20789,ROLL,FOR_COMPANY
20790,ROLL,FOR_COMPANY
20791,ROLL,FOR_COMPANY
20792,ROLL,FOR_COMPANY
