:START_ID(Transaction),:END_ID(Company),:TYPE
761,PAHC,FOR_COMPANY
762,PAHC,FOR_COMPANY
763,PAHC,FOR_COMPANY
764,ENV,FOR_COMPANY
765,ENV,FOR_COMPANY
766,ENV,FOR_COMPANY
767,ENV,FOR_COMPANY
768,PCAR,FOR_COMPANY
769,NAN,FOR_COMPANY
770,NAN,FOR_COMPANY
771,ACM,FOR_COMPANY
772,YUMA,FOR_COMPANY
773,NAN,FOR_COMPANY
774,YELP,FOR_COMPANY
775,LBRDA,FOR_COMPANY
776,LBRDA,FOR_COMPANY
777,LBRDA,FOR_COMPANY
778,LBRDA,FOR_COMPANY
779,TSCM,FOR_COMPANY
780,YELP,FOR_COMPANY
781,YELP,FOR_COMPANY
782,YELP,FOR_COMPANY
783,YELP,FOR_COMPANY
784,ENSG,FOR_COMPANY
785,ENSG,FOR_COMPANY
786,ENSG,FOR_COMPANY
787,ENSG,FOR_COMPANY
788,ENSG,FOR_COMPANY
789,ROCK,FOR_COMPANY
790,ED,FOR_COMPANY
791,ED,FOR_COMPANY
792,ED,FOR_COMPANY
793,LMCA,FOR_COMPANY
794,LMCA,FOR_COMPANY
795,LMCA,FOR_COMPANY
796,LMCA,FOR_COMPANY
797,LMCA,FOR_COMPANY
798,LMCA,FOR_COMPANY
799,LMCA,FOR_COMPANY
800,LMCA,FOR_COMPANY
801,LMCA,FOR_COMPANY
802,LMCA,FOR_COMPANY
803,LMCA,FOR_COMPANY
804,EPAY,FOR_COMPANY
805,OMED,FOR_COMPANY
806,PCAR,FOR_COMPANY
807,PNR,FOR_COMPANY
808,SCLN,FOR_COMPANY
809,SCLN,FOR_COMPANY
810,SCLN,FOR_COMPANY
811,PNR,FOR_COMPANY
812,NVRO,FOR_COMPANY
813,INTC,FOR_COMPANY
814,INTC,FOR_COMPANY
815,EPAY,FOR_COMPANY
816,AEXP,FOR_COMPANY
817,PNR,FOR_COMPANY
818,CWT,FOR_COMPANY
819,CWT,FOR_COMPANY
820,DPDW,FOR_COMPANY
821,VCRA,FOR_COMPANY
822,DHX,FOR_COMPANY
823,DHX,FOR_COMPANY
824,DHX,FOR_COMPANY
825,DHX,FOR_COMPANY
826,DHX,FOR_COMPANY
827,DHX,FOR_COMPANY
828,CFMS,FOR_COMPANY
829,CWT,FOR_COMPANY
